# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
          0.00000000      -2.01835920e-15     2.596514482033e-14     2.400886678592e-14     3.861118268751e-14
# Kick = [    0.000000000000e+00,     0.000000000000e+00,     1.000000000000e-05]; Time = 0.00000000
          0.00000000       7.77121618e-16    -1.013707708739e-14    -4.801773357184e-15     1.378970810268e-14
          0.41341373      -2.75506951e-15     2.934417051613e-14     2.365317987057e-14     9.446927862681e-06
          0.82682747      -3.54474279e-16     6.935894849266e-15     5.157460272531e-15     1.862424538312e-05
          1.24024120      -2.60155167e-15     3.076691817751e-14     3.503516116168e-14     2.736212388604e-05
          1.65365493      -7.26944668e-16     7.291581764613e-15     4.446086441837e-15     3.561890898807e-05
          2.06706867      -4.05333599e-17     4.979616814858e-15     7.469425222286e-15     4.343550831264e-05
          2.48048240      -1.85530994e-16     1.191551166412e-14     1.120413783343e-14     5.087808347167e-05
          2.89389613       9.70240367e-16    -9.781390172042e-15    -6.758051391593e-15     5.802595136824e-05
          3.30730987      -3.64379565e-16     1.067060746041e-14     1.369394624086e-14     6.499661053978e-05
          3.72072360       6.33083684e-16    -3.912556068817e-15    -7.647268679960e-15     7.195003698821e-05
          4.13413733      -2.83022201e-15     3.130044855053e-14     3.610222190772e-14     7.903578851892e-05
          4.54755107       2.35480826e-17     1.600591119061e-15     1.067060746041e-15     8.631483275995e-05
          4.96096480       5.92801828e-16    -8.892172883674e-16    -5.335303730205e-16     9.372625814256e-05
          5.37437853       4.47838886e-16    -1.778434576735e-15     1.244904203714e-15     1.011323923114e-04
          5.78779227      -1.86202374e-15     2.027415417478e-14     2.045199763245e-14     1.084016842572e-04
          6.20120600      -2.39763654e-15     3.094476163519e-14     3.414594387331e-14     1.154559826517e-04
          6.61461974       7.70189955e-16    -8.892172883674e-15    -6.224521018572e-15     1.222520786258e-04
          7.02803347      -2.01132697e-16     6.580207933919e-15     4.090399526490e-15     1.287390270898e-04
          7.44144720       1.46818103e-15    -1.796218922502e-14    -1.956278034408e-14     1.348551593788e-04
          7.85486094      -1.30525667e-15     2.294180603988e-14     2.027415417478e-14     1.405785875306e-04
          8.26827467      -2.61619479e-15     3.521300461935e-14     3.414594387331e-14     1.459783611040e-04
          8.68168840      -1.02780858e-15     1.547238081759e-14     1.547238081759e-14     1.512041045211e-04
