# Photoabsorption spectrum from real-time propagation
# GPAW version: 20.10.0
# Total time = 20.0000 fs, Time steps = [10.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -0.0000000000e+00    -0.0000000000e+00     1.7182606189e-09
    0.100000    -0.0000000000e+00    -0.0000000000e+00     8.1483112212e-09
    0.150000    -0.0000000000e+00    -0.0000000000e+00     2.3731300785e-08
    0.200000    -0.0000000000e+00    -0.0000000000e+00     5.7604783332e-08
    0.250000    -0.0000000000e+00    -0.0000000000e+00     1.2565284115e-07
    0.300000    -0.0000000000e+00    -0.0000000000e+00     2.5290143191e-07
    0.350000    -0.0000000000e+00    -0.0000000000e+00     4.7535119286e-07
    0.400000    -0.0000000000e+00    -0.0000000000e+00     8.3929145495e-07
    0.450000    -0.0000000000e+00    -0.0000000000e+00     1.3964874239e-06
    0.500000    -0.0000000000e+00    -0.0000000000e+00     2.1949857659e-06
    0.550000    -0.0000000000e+00    -0.0000000000e+00     3.2662707662e-06
    0.600000    -0.0000000000e+00    -0.0000000000e+00     4.6109317414e-06
    0.650000    -0.0000000000e+00    -0.0000000000e+00     6.1879212668e-06
    0.700000    -0.0000000000e+00    -0.0000000000e+00     7.9148306989e-06
    0.750000    -0.0000000000e+00    -0.0000000000e+00     9.6874734311e-06
    0.800000    -0.0000000000e+00    -0.0000000000e+00     1.1435521472e-05
    0.850000    -0.0000000000e+00    -0.0000000000e+00     1.3272434308e-05
    0.900000    -0.0000000000e+00    -0.0000000000e+00     1.5930248705e-05
    0.950000    -0.0000000000e+00    -0.0000000000e+00     2.2034108454e-05
    1.000000    -0.0000000000e+00    -0.0000000000e+00     3.9689451594e-05
    1.050000    -0.0000000000e+00    -0.0000000000e+00     9.1957858720e-05
    1.100000    -0.0000000000e+00    -0.0000000000e+00     2.4012548157e-04
    1.150000    -0.0000000000e+00    -0.0000000000e+00     6.3654149263e-04
    1.200000    -0.0000000000e+00    -0.0000000000e+00     1.6350504177e-03
    1.250000    -0.0000000000e+00    -0.0000000000e+00     4.0020482051e-03
    1.300000    -0.0000000000e+00    -0.0000000000e+00     9.2816948544e-03
